3383929.416159,544310.798193
3384077.490643,544430.816354
3384259.414172,544574.230351
3384697.919496,544889.434795
3384916.707036,544889.979777
3384993.427703,544889.710695
3384620.825406,544879.692007
3384536.118988,544880.150799
3384484.626166,544879.520014
3384419.964589,544879.683369
3384346.388439,544879.987190
3384300.101673,544878.864985
3384240.762512,544877.515469
3384222.057411,544877.801557
3384237.701011,544888.279972
3384281.766857,544888.529211
3384436.847721,544887.864606
3384571.885448,544889.656843
3384636.433793,544889.171245
3385151.539398,545257.318552
3385071.779063,545196.242235
3385007.793973,545148.793687
3384976.419420,545124.830235
3384928.365300,545087.816877
3384792.722537,544982.566463
3384704.506861,544914.387630
3384700.894472,544918.685674
3384795.378116,544991.434073
3384872.866990,545051.053842
3384979.156828,545132.221377
3385044.232808,545183.523486
3385068.660354,545202.926242
3385144.019357,545259.527513
3385500.796030,545286.654935
3385438.912874,545287.351936
3385382.753227,545287.156941
3385269.870440,545286.286986
3385218.620424,545286.965931
3385236.150889,545296.433443
3385277.007385,545295.836891
3385337.222170,545294.411914
3385452.209831,545295.247360
3385511.465070,545296.270029
3385152.917874,545285.283828
3385118.475263,545284.935533
3385089.370952,545285.173083
3385037.720970,545285.927706
3384964.071312,545287.060273
3384832.836902,545287.232315
3384754.841176,545287.122883
3383818.650586,544581.922916
3383771.268929,544544.566270
3383701.396474,544489.088559
3383598.902258,544406.615774
3383552.813203,544370.032396
3385272.043433,545666.107321
3385446.553423,545665.345341
3385632.925414,545666.320649
3385647.155875,545666.260791
3385624.771570,545647.252419
3385521.363601,545647.736848
3385385.908055,545647.117017
3385251.767169,545647.574124
3385734.948527,545664.529917
3385781.635347,545665.267457
3385878.995189,545665.080100
3385955.374028,545664.144838
3385972.958403,545663.738889
3385938.777051,545644.546727
3385840.123207,545646.298281
3385814.036826,545646.230016
3385712.460308,545647.503634
3385622.437160,545607.122720
3385531.895697,545540.958136
3385460.939519,545488.483404
3385327.880853,545389.252879
3385242.620761,545324.731409
3384266.013860,544571.262926
3384086.810471,544429.937219
3383945.509895,544313.944924
3385231.500434,545324.120877
3385333.841421,545400.453241
3385395.309048,545446.855607
3385465.918263,545499.100671
3385549.035643,545560.797803
3385607.730527,545604.735618
3384765.972915,545295.864632
3384865.387570,545294.448389
3385052.706927,545293.454321
3385147.961633,545296.230169
3385166.854317,545296.416150
3385168.836024,545645.404917
3385110.845301,545644.986856
3385037.751387,545645.274386
3384948.013616,545645.160489
3384878.761587,545642.832981
3384765.838482,545318.596834
3384840.244658,545373.894126
3384919.003139,545433.371205
3384997.732349,545491.344253
3385066.115981,545543.016920
